/Users/kivutar/testroms/Sega - Master System - Mark III/Aleste (Japan).zip	Aleste (Japan)	d8c4165b
/Users/kivutar/testroms/Sega - Master System - Mark III/Alex Kidd in Miracle World (USA, Europe) (Rev 1).zip	Alex Kidd in Miracle World (USA, Europe, Brazil) (Rev 1)	aed9aac4
/Users/kivutar/testroms/Sega - Master System - Mark III/Aztec Adventure - The Golden Road to Paradise (World).zip	Aztec Adventure (World)	ff614eb3
